epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3448,0.99816,2.76167,0.86785,0.0118,0.96752,0.46185,0.31603,0.84816,2.86665,0.79608,0.00040008,0.00040008,0.00040008
2,21.8684,0.86458,0.95344,0.83838,0.98441,0.18214,0.92916,0.72293,0.72474,2.27625,0.80914,0.000808743,0.000808743,0.000808743
3,29.8027,0.82016,0.71651,0.8488,0.97182,0.51013,0.94409,0.74509,0.72285,1.69575,0.80412,0.00120916,0.00120916,0.00120916
4,36.9994,0.81513,0.6769,0.84204,0.9847,0.9604,0.97959,0.77395,0.71852,1.01235,0.80415,0.00160132,0.00160132,0.00160132
5,44.0337,0.77581,0.63459,0.83924,0.9898,0.97832,0.98133,0.80298,0.62616,0.61397,0.79588,0.00160099,0.00160099,0.00160099
6,50.6757,0.7533,0.60321,0.82902,0.98299,0.97991,0.98233,0.80655,0.62755,0.49996,0.79624,0.00158448,0.00158448,0.00158448
7,57.1849,0.73864,0.57634,0.82974,0.98376,0.96668,0.98049,0.81843,0.62348,0.50678,0.7997,0.00156798,0.00156798,0.00156798
8,63.3488,0.72513,0.56187,0.83462,0.9872,0.98163,0.98037,0.80343,0.62476,0.47697,0.79691,0.00155148,0.00155148,0.00155148
9,70.2044,0.73908,0.55624,0.83979,0.98661,0.98284,0.97956,0.7928,0.63309,0.45946,0.79697,0.00153497,0.00153497,0.00153497
10,76.5959,0.70008,0.5343,0.82795,0.98715,0.9807,0.9819,0.82277,0.57219,0.43641,0.79392,0.00151847,0.00151847,0.00151847
11,83.2048,0.70621,0.5144,0.81903,0.9908,0.97803,0.98055,0.82194,0.57326,0.42944,0.79414,0.00150197,0.00150197,0.00150197
12,90.2274,0.71964,0.50912,0.82555,0.98745,0.98168,0.98072,0.82279,0.57793,0.43034,0.79078,0.00148546,0.00148546,0.00148546
